date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:54	70/70	---M-Z	200	added ('OK')	text/plain	date:Sun,%2010%20Jul%202016%2011:03:49%20GMT	http://wp.gawibowo.com/robots.txt		(from )
14:03:55	92201/92201	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2011:03:49%20GMT	http://wp.gawibowo.com/headline-news/home/home-style-7/	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/home/home-style-7/index.html	(from )
14:03:56	10382/10382	---M-Z	200	added ('OK')	text/css	etag:%22288e-537192e7-3ff23a259e4bbf86%22	http://wp.gawibowo.com/headline-news/wp-content/plugins/g7-shortcodes/css/shortcodes.css?ver=804ab4b68987012327e3393514324f97	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/plugins/g7-shortcodes/css/shortcodes8eb3.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:56	717/717	---M--	200	added ('OK')	application/rss+xml	etag:%22b0c8125393509ab5db9a930829249ede%22	http://wp.gawibowo.com/headline-news/home/home-style-7/feed/	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/home/home-style-7/feed/index.html	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:57	16746/16746	---M-Z	200	added ('OK')	text/css	etag:%22416a-57716f18-a4340123b24397b6%22	http://wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/bootstrap.min.css?ver=804ab4b68987012327e3393514324f97	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/bootstrap.min8eb3.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:57	23740/23740	---M-Z	200	added ('OK')	text/css	etag:%225cbc-57716f18-3714325c98fa4e64%22	http://wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/font-awesome.min.css?ver=804ab4b68987012327e3393514324f97	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/font-awesome.min8eb3.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:57	6851/6851	---M-Z	200	added ('OK')	text/css	etag:%221ac3-57716f18-4ad1eb84117b26be%22	http://wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/flexslider.css?ver=804ab4b68987012327e3393514324f97	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/flexslider8eb3.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:57	39158/39158	---M-Z	200	added ('OK')	text/css	etag:%2298f6-57716f18-77f8bf1701145925%22	http://wp.gawibowo.com/headline-news/wp-content/themes/headline-news/style.css?ver=1.3	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/themes/headline-news/style4e44.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:58	27154/27154	---M-Z	200	added ('OK')	text/css	etag:%226a12-55d4d550-65a54d605ade3a0b%22	http://wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/prettyPhoto.css?ver=804ab4b68987012327e3393514324f97	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/prettyPhoto8eb3.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
14:03:58	2234/2234	---M-Z	200	added ('OK')	text/css	etag:%228ba-56412e54-495e714e9727f0e0%22	http://wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/jquery.liScroll.css?ver=804ab4b68987012327e3393514324f97	C:/get%20html%20site/new%20get/wp.gawibowo.com/headline-news/wp-content/themes/headline-news/css/jquery.liScroll8eb3.css	(from http://wp.gawibowo.com/headline-news/home/home-style-7/)
